0.000000	206.587937	C1-coffee_shop
3.322479	5.132284	C1-recording_artifact
12.209433	15.802032	C2-artifact
19.340607	20.556148	C2-artifact
22.852170	27.957442	C2-talking
28.389634	30.010355	C1-artifact
32.036257	32.981678	C1-artifact
38.519142	42.435885	C2-talking
39.329503	40.869188	C1-artifact
43.489354	55.779823	C2-talking
60.371867	76.173899	C2-talking
65.315067	66.152439	C2-artifact
68.772605	80.360762	C2-beeping
82.386664	115.098221	C2-beeping
118.501736	119.285085	C2-artifact
134.816997	135.816442	C1-recording_artifact
147.620695	148.809224	C2-artifact
150.078789	153.023099	C2-talking
154.940952	156.075457	C2-artifact
157.182950	160.721525	C2-talking
162.504318	165.907833	C2-talking
173.147055	174.848812	C2-talking
176.631605	177.604038	C2-artifact
186.572029	187.031233	C1-recording_artifact
188.922075	193.595154	C2-talking
193.595154	194.378503	C2-artifact
201.806809	203.400518	C1-recording_artifact
203.589602	206.587937	C2-talking
