0.000000	140.786667	C1-coffee_shop
2.126465	5.206174	C1-talking
5.781769	7.075997	C2-artifact
9.257457	10.320689	C2-laughing
12.062191	17.268365	C2-talking
17.854976	18.716561	C2-artifact
20.989679	24.106050	C2-talking
24.601003	25.554247	C2-artifact
30.063819	36.956500	C2-talking
39.064634	42.254332	C2-talking
44.619108	45.902319	C2-laughing
46.415604	48.762049	C2-talking
59.064406	65.938755	C2-talking
67.753583	77.231019	C2-talking
77.469330	78.532562	C2-laughing
87.588372	102.400302	C2-talking
102.730271	105.663326	C2-talking
108.633045	118.587102	C2-talking
118.697092	119.888646	C2-laughing
120.383599	126.799658	C2-talking
129.201097	135.378845	C2-talking
137.303663	140.786667	C2-talking
