0.000000	296.000000	C1-coffee_shop
2.302824	3.405858	C1-coughing
8.901674	11.378661	C2-talking
26.472803	27.711297	C2-artifact
30.459205	31.155858	C2-artifact
34.523013	35.684100	C2-sliding_ceramic
40.328452	41.953975	C2-talking
51.165272	52.519874	C2-talking
56.099895	59.699268	C2-talking
66.298117	67.672071	C2-talking
76.380230	77.734833	C2-talking
78.876569	80.695607	C2-talking
86.384937	90.700314	C2-talking
93.486925	96.757322	C2-talking
97.686192	98.653766	C2-talking
100.917887	103.530335	C2-talking
108.677824	111.251569	C2-talking
117.134414	120.404812	C2-talking
120.772490	124.429916	C2-talking
128.261506	148.251569	C2-talking
149.141736	150.651151	C2-talking
150.883368	152.102510	C1-coughing
167.932008	172.711820	C2-talking
177.085251	179.852510	C2-talking
184.264644	185.851464	C2-talking
202.009937	206.093096	C2-talking
206.093096	209.247385	C2-laughing
210.292364	215.265690	C2-talking
219.232741	222.657950	C2-talking
227.902197	251.859310	C2-talking
257.142259	257.838912	C1-coughing
262.289749	265.366632	C2-talking
270.881799	281.834728	C2-talking
283.634414	296.000000	C2-sliding_ceramic
