id,label,duration
184320,basketball_dribbling,3.270003
580220,basketball_dribbling,3.8629569999999998
262507,basketball_dribbling,4.903606999999997
453757,basketball_dribbling,5.097981
530362,basketball_dribbling,5.344223999999997
272420,chewing_gum,4.107312
395087,chewing_gum,4.315636
125375,chewing_gum,4.37889
187258,chewing_gum,4.60579
613719,chewing_gum,4.717343
125403,clearing_throat,3.451799
336672,clearing_throat,4.334504
546751,clearing_throat,4.366534
586979,clearing_throat,4.823086
592495,clearing_throat,4.915911
636467,flipping_newspaper,4.164399999999999
473981,flipping_newspaper,4.31936
484956,flipping_newspaper,4.823135
557540,flipping_newspaper,5.187245
275304,flipping_newspaper,5.775903
554907,human_breathing,4.201422
470897,human_breathing,5.296225
336530,human_breathing,5.30284
234335,human_breathing,5.3633169999999994
30709,human_breathing,6.744311
87506,knife_cutting,4.322922
272223,knife_cutting,4.332258
539291,knife_cutting,4.752026000000001
419998,knife_cutting,4.957124
87984,knife_cutting,5.003735
444745,plastic_crumpling,4.31211
84275,plastic_crumpling,4.345921
345567,plastic_crumpling,4.576
543249,plastic_crumpling,5.320360999999999
542510,plastic_crumpling,6.134937000000001
328010,swallowing,4.128386
267932,swallowing,4.177797
145387,swallowing,4.691422
501948,swallowing,4.97385
243635,swallowing,5.201974
446021,typing,4.236421
535211,typing,4.283448
624499,typing,4.340351
546032,typing,5.799208
469013,typing,6.033691
324866,water_drops,4.0746
420221,water_drops,4.153793
486300,water_drops,4.176463
259326,water_drops,4.537254000000001
181890,water_drops,4.570438
